,Created At Week,2026-05-11,2026-05-11,2026-05-04,2026-05-04,2026-04-27,2026-04-27,2026-04-20,2026-04-20
,Product Name,Orders with open_food_items,Open food items count,Orders with open_food_items,Open food items count,Orders with open_food_items,Open food items count,Orders with open_food_items,Open food items count
324,FOR THE SIDE VEGGIES,1,1,,,,,,
325,FRIED ONIONS ON THEE CHICKEN CHEESESTEAK SHELL,1,1,,,,,,
326,Feta cheese,1,1,1,1,1,1,,
327,Fettuccine Alfredo,1,1,,,,,,
328,Flag Cake,1,1,,,,,,
329,For Curly Fries,1,1,,,,,,
330,For stake tips,1,1,,,,,,
331,For the Cesar salad,1,1,,,,,,
332,For the extra peppers,1,1,,,,,,
333,For the stuff he added,1,1,,,,,,
334,French dressing,1,1,1,1,1,1,,
335,French dressing on the side,1,1,,,,,,
336,Fresh Mozz,1,1,1,1,,,,
337,Fresh garlic,1,1,,,,,,
338,Friday Special,1,1,,,,,,
339,Fried Onions,1,1,2,2,,,2,2
340,GARDEN STATE / CHICKEN CUTLET,1,1,,,,,,
341,GARLIC PARM ON THE PIZZA,1,1,,,,,,
342,GARLIC POWDER //ONION POWDER //OREGANO//CRUSHED RED PEPPERS,1,1,,,,,,
343,GRILLED  CHICKEN ON GREEK SALAD,1,1,,,,,,
344,GYRO SAUCE,1,1,,,,,,
345,Garlic,1,1,,,1,1,3,3
346,Garlic Bread for the veal parm sandwitch,1,1,,,,,,
347,Garlic Butter,1,1,,,,,,
348,Garlic Charge,1,2,,,,,,
349,Garlic Parm Sauce,1,1,,,1,1,,
350,Garlic parm - for the 10 wings,1,1,,,,,,
351,Garlic parm sauce,1,1,,,,,,
352,Garlic sauce on the side,1,1,,,,,,
353,Gatorade,1,1,1,1,,,,
354,Gluten Free Supreme Pizza,1,1,,,,,,
355,Gluten free,1,1,,,,,1,1
356,Grape Crush,1,1,,,,,,
357,Gratuity Fee,1,1,,,,,,
358,Greek Dressing,1,1,,,,,,
359,Greek dressing,1,1,,,,,,
360,Greek fries,1,1,,,,,,
361,HH,1,1,,,,,,
362,HONEY MUSTARD N BBQ SAUCE,1,1,,,,,,
363,HOT SAUCE,1,1,,,,,2,2
364,HOT SAUCE ON THE SIDE,1,1,,,,,1,1
365,Halal Pepperoni,1,1,,,,,,
366,Halal all meat,1,1,,,,,,
367,Half pepperoni upcharge for special,1,1,,,,,,
368,Hard - Boiled Egg,1,1,,,,,,
369,Hard Boiled Eggs,1,1,,,1,1,,
370,Honey mustard,1,1,2,2,,,1,1
371,Honey mustard dipping sauce,1,1,,,,,,
372,Hot Honey,1,1,,,,,,
373,Hot Sauce for the 5 other wings,1,1,,,,,,
374,Hot cherry peppers,1,1,,,,,,
375,Hot peppers on the veal parm entree,1,1,,,,,,
376,Hot sauce,1,1,3,3,2,2,2,2
377,House dressing,1,1,,,,,,
378,Italian Dressing,1,1,5,5,1,1,,
379,Italian dressing,1,1,,,,,,
380,Italian sausage,1,1,,,,,,
381,JALAPENOS ON THE SIDE,1,1,,,1,1,,
382,Jaans,1,1,,,1,1,1,1
383,Jalapeno,1,1,,,1,1,,
384,Jalapeno peppers on the side,1,1,,,,,,
385,Jalapenos and banana peppers,1,1,,,,,,
386,Ketchup,1,1,,,,,1,1
387,Large Cheese Pizza Tuesday Special,1,1,,,,,,
388,Large Side of Ranch,1,1,,,,,,
389,Large cheese pizza,1,1,,,,,,
390,Large pepperoni stromboli,1,1,,,,,,
391,Lays,1,1,,,,,,
392,Lemon pepper and mild mixed sauce,1,1,,,,,,
393,"Lettuce, Tomato and Mayo",1,1,,,,,,
394,MMM,1,1,,,,,,
395,MUSHROOMS,1,1,4,4,1,1,,
396,MUSHROOMS AND SPINACH ON THE CHICKEN FRANCESE DINNE PUT THEM IN THE PASTA,1,1,,,,,,
397,Macaroni And Cheese,1,1,,,,,,
398,Make it combo,1,1,,,,,,
399,Make the gluten free pizza into the Gluten free hawaiian,1,1,,,,,,
400,Marinara Sauce for the pasta's on the side,1,1,,,,,,
401,Meat,1,1,,,,,1,1
402,Meat Sauce,1,1,1,1,,,,
403,Meatball parm sub 12in,1,1,,,,,,
404,Meatball side order,1,1,,,,,,
405,Medium Cheeseburger Pizza,1,1,,,,,,
406,Minestrone soup,1,1,,,,,,
407,Mixed vegetables regular portion not tray.,1,1,,,,,,
408,Monday Tuesday special one large pizza with mushroooms,1,1,,,,,,
409,Mozz,1,1,,,,,,
410,Mozz Ch On Knots,1,1,,,,,,
411,Mozzarella,1,1,1,1,,,1,1
412,Mozzarella Cheese,1,1,,,,,,
413,Mozzarella Sticks,1,1,,,1,1,,
414,Mozzarella for the meatballs,1,1,,,,,,
415,Multi-Topping Slice //Add pepperoni and mushrooms,1,1,,,,,,
416,Mushroom,1,1,,,,,1,1
417,Mushroom on one of the white slice,1,1,,,,,,
418,Mushrooms on the pasta,1,1,,,,,,
419,Nacho cheese on the side,1,1,,,,,,
420,Olives on the third pizza,1,1,,,,,,
421,Onion Rings,1,1,,,,,,
422,Onions,1,1,1,1,2,2,,
423,Order Extra Topping,1,1,,,,,,
424,Order of Cucumbers,1,1,,,,,,
425,PEPPERONI SLICES,1,1,,,,,,
426,PEPPERONI TOPPING,1,1,,,,,,
427,PICKELS,1,1,,,,,,
428,PINAPPLE CHARGE,1,1,,,,,,
429,PINEAPPLE TOPPING,1,1,,,1,1,,
430,Paneer cubes,1,1,,,,,,
431,Parmesan Cheese on the side,1,1,,,,,,
432,Peperoni Slice,1,1,,,,,,
433,Pepperoni Topping,1,1,,,,,,
434,Pepperoni for calzone,1,1,,,,,,
435,Petulica,1,1,,,,,,
436,Phily Meat,1,1,,,,,,
437,Pineapple,1,1,1,1,2,2,4,4
438,Pita,1,1,2,2,2,2,,
439,Pita bread,1,1,,,,,,
440,Pizza Dough,1,1,,,1,1,1,1
441,Pizza Sub,1,1,,,,,,
442,Plain cheese slices,1,1,,,,,,
443,Prosciutto extra for penne vodka,1,1,,,,,,
444,Provolone,1,1,1,1,,,,
445,RANCH SAUCE,1,1,,,,,1,1
446,RANCH SIDE,1,1,,,,,,
447,ROLL,1,1,,,,,,
448,ROOT BEER,1,1,,,,,,
449,Rainbow Cookies,1,1,,,,,,
450,Ranch Dressing Side,1,1,,,,,,
451,Ranch Dressing for the wings,1,1,,,,,,
452,Ranch dipping sauce,1,1,1,1,1,1,,
453,Ranch on buffalo chicken pizza,1,1,,,,,,
454,Ranch on the side,1,1,2,2,1,1,2,2
455,Ranch sauce,1,1,1,1,1,1,1,1
456,"Ranch, Pineapple",1,1,,,,,,
457,Raw Pizza Dough,1,1,,,,,,
458,Red Sauce,1,1,,,,,,
459,Regular bread,1,1,,,,,,
460,Ricotta,1,1,2,2,,,,
461,Roasted Peppers,1,1,,,,,,
462,Roll,1,1,,,,,,
463,SIDE OF ANCHOVIES,1,1,,,,,,
464,SIDE OF BLUE CHEESE,1,1,,,1,1,1,1
465,SIDE OF ITALIAN DRESSING,1,1,,,,,,
466,SIDE OF RANCH,1,1,,,2,2,1,1
467,SIDE OF RANCH SAUCE,1,1,,,,,,
468,SMALL BOTTLE OF PEPSI,1,1,,,,,,
469,SMALL GLUTEN FREE PIZZA WITH SAUSAGE,1,1,,,,,,
470,SWEET PEPPER,1,1,,,,,,
471,Salami,1,1,1,1,,,,
472,Salda,1,1,,,,,,
473,Sausage,1,1,3,3,,,3,3
474,Sausage on the pasta,1,1,,,,,,
475,Shredded Parmesan,1,1,,,,,,
476,Shrimps,1,1,,,,,,
477,Sicilian,1,1,2,2,,,,
478,Sicilian  slice  corner  part,1,1,,,,,,
479,Sicilian Pizza Slices,1,1,,,,,,
480,Sicilian Slice,1,1,2,2,,,,
481,Side Cheddar Ch,1,1,,,,,,
482,Side Sauce,1,1,,,,,,
483,Side of Bacon for the Cheesesteak,1,1,,,,,,
484,Side of Buffalo,1,1,,,,,,
485,Side of Buffalo Dressing,1,1,,,,,,
486,Side of Buffalo Mild sauce,1,1,,,,,,
487,Side of Buffalo sauce,1,1,,,,,,
488,Side of Cheese Whiz,1,1,,,,,,
489,Side of French Dressing,1,1,,,,,1,1
490,Side of Grilled Chicken,1,1,1,1,,,1,1
491,Side of Hot Sauce,1,1,,,1,1,2,2
492,Side of Hot sauce,1,1,,,,,,
493,Side of Italian Dressing,1,1,,,,,,
494,Side of Jalapeno,1,1,,,,,,
495,Side of Marinara Sauce,1,1,5,5,3,3,1,1
496,Side of Marinara sauce,1,1,,,,,1,1
497,Side of Vodka Sauce,1,1,,,,,,
498,Side of marinara,1,1,2,2,1,1,1,1
499,Side of meatballs,1,1,1,1,,,,
500,Side of ranch,1,1,,,,,,
,,"1,113","1,233","1,272","1,413","1,348","1,487","1,160","1,287"
